PSNR,SSIM,LPIPS,mask_type,parameter_k,image_name
14.228898048400879,0.2214079648256302,0.46968117356300354,row_slit,"row_slit_2,2",woman_tending_garden.png
18.373003005981445,0.6621238589286804,0.29942208528518677,row_slit,"row_slit_2,2",view_mountains_lake.png
15.875324249267578,0.35852551460266113,0.4434376358985901,row_slit,"row_slit_2,2",field_red_flowers.png
21.831035614013672,0.6272223591804504,0.249064102768898,row_slit,"row_slit_2,2",bowl_fruit_wooden.png
20.089614868164062,0.5743185877799988,0.3382936120033264,row_slit,"row_slit_2,2",blue_pink_toy.png
21.53330421447754,0.703350841999054,0.23149313032627106,row_slit,"row_slit_2,2",watch_wrist.png
19.72218132019043,0.7811347842216492,0.3137175440788269,row_slit,"row_slit_2,2",row_rubber_ducks.png
17.806962966918945,0.36950060725212097,0.417885959148407,row_slit,"row_slit_2,2",pizza_box_pizza.png
16.35854148864746,0.23228119313716888,0.42363500595092773,row_slit,"row_slit_2,2",rocky_beach_large.png
24.012046813964844,0.5080391764640808,0.312963604927063,row_slit,"row_slit_2,2",lemon_blue_surface.png
13.96544075012207,0.19695521891117096,0.5058499574661255,row_slit,"row_slit_1,1",woman_tending_garden.png
18.596216201782227,0.6551476120948792,0.3265325129032135,row_slit,"row_slit_1,1",view_mountains_lake.png
17.33039665222168,0.3324320614337921,0.41537314653396606,row_slit,"row_slit_1,1",field_red_flowers.png
22.781099319458008,0.6320592761039734,0.25746238231658936,row_slit,"row_slit_1,1",bowl_fruit_wooden.png
20.191314697265625,0.5652539730072021,0.3481651544570923,row_slit,"row_slit_1,1",blue_pink_toy.png
21.80472183227539,0.7059985995292664,0.25879591703414917,row_slit,"row_slit_1,1",watch_wrist.png
20.329607009887695,0.7775928378105164,0.32443732023239136,row_slit,"row_slit_1,1",row_rubber_ducks.png
18.262435913085938,0.3587949275970459,0.43484044075012207,row_slit,"row_slit_1,1",pizza_box_pizza.png
16.881589889526367,0.2150588035583496,0.4408131241798401,row_slit,"row_slit_1,1",rocky_beach_large.png
24.23067283630371,0.5018741488456726,0.32400786876678467,row_slit,"row_slit_1,1",lemon_blue_surface.png
14.00595474243164,0.2323918342590332,0.4537721276283264,row_slit,"row_slit_4,4",woman_tending_garden.png
16.971757888793945,0.6544790863990784,0.32389238476753235,row_slit,"row_slit_4,4",view_mountains_lake.png
14.004462242126465,0.35703277587890625,0.4435005187988281,row_slit,"row_slit_4,4",field_red_flowers.png
21.388019561767578,0.6404626965522766,0.23681344091892242,row_slit,"row_slit_4,4",bowl_fruit_wooden.png
19.114795684814453,0.5381371378898621,0.4037383794784546,row_slit,"row_slit_4,4",blue_pink_toy.png
20.20616340637207,0.700298011302948,0.2315991222858429,row_slit,"row_slit_4,4",watch_wrist.png
17.400510787963867,0.7393264770507812,0.3672439455986023,row_slit,"row_slit_4,4",row_rubber_ducks.png
17.384599685668945,0.3841453492641449,0.41297873854637146,row_slit,"row_slit_4,4",pizza_box_pizza.png
16.323671340942383,0.2515260875225067,0.40663275122642517,row_slit,"row_slit_4,4",rocky_beach_large.png
23.476137161254883,0.5163841843605042,0.2708917558193207,row_slit,"row_slit_4,4",lemon_blue_surface.png
13.843487739562988,0.25983670353889465,0.44924771785736084,row_slit,"row_slit_6,6",woman_tending_garden.png
15.950940132141113,0.6474869847297668,0.3005730211734772,row_slit,"row_slit_6,6",view_mountains_lake.png
14.04568862915039,0.3807178735733032,0.4718632698059082,row_slit,"row_slit_6,6",field_red_flowers.png
19.247291564941406,0.6544728875160217,0.23516397178173065,row_slit,"row_slit_6,6",bowl_fruit_wooden.png
17.72117805480957,0.5511245131492615,0.38150638341903687,row_slit,"row_slit_6,6",blue_pink_toy.png
18.104154586791992,0.6874273419380188,0.2698017358779907,row_slit,"row_slit_6,6",watch_wrist.png
17.69816780090332,0.7943627238273621,0.29370078444480896,row_slit,"row_slit_6,6",row_rubber_ducks.png
18.195457458496094,0.41155290603637695,0.3811371326446533,row_slit,"row_slit_6,6",pizza_box_pizza.png
16.004470825195312,0.2593529224395752,0.4210048317909241,row_slit,"row_slit_6,6",rocky_beach_large.png
18.525297164916992,0.4984889030456543,0.34670311212539673,row_slit,"row_slit_6,6",lemon_blue_surface.png
14.096766471862793,0.26446810364723206,0.43409037590026855,row_slit,"row_slit_7,7",woman_tending_garden.png
16.242448806762695,0.6383075714111328,0.3194832503795624,row_slit,"row_slit_7,7",view_mountains_lake.png
15.016777038574219,0.43877705931663513,0.38904452323913574,row_slit,"row_slit_7,7",field_red_flowers.png
19.302003860473633,0.6519477963447571,0.25643813610076904,row_slit,"row_slit_7,7",bowl_fruit_wooden.png
18.443164825439453,0.5829355120658875,0.31902211904525757,row_slit,"row_slit_7,7",blue_pink_toy.png
18.583467483520508,0.7001144886016846,0.2233762890100479,row_slit,"row_slit_7,7",watch_wrist.png
18.524192810058594,0.8046901822090149,0.289804607629776,row_slit,"row_slit_7,7",row_rubber_ducks.png
17.87764549255371,0.42054715752601624,0.3840421438217163,row_slit,"row_slit_7,7",pizza_box_pizza.png
16.495513916015625,0.2586614191532135,0.40695708990097046,row_slit,"row_slit_7,7",rocky_beach_large.png
20.208513259887695,0.5031208395957947,0.2838869094848633,row_slit,"row_slit_7,7",lemon_blue_surface.png
13.959964752197266,0.25071266293525696,0.4448792040348053,row_slit,"row_slit_5,5",woman_tending_garden.png
16.464601516723633,0.6293532252311707,0.31809818744659424,row_slit,"row_slit_5,5",view_mountains_lake.png
14.302592277526855,0.38660359382629395,0.4523044526576996,row_slit,"row_slit_5,5",field_red_flowers.png
19.978267669677734,0.6495850682258606,0.24547262489795685,row_slit,"row_slit_5,5",bowl_fruit_wooden.png
18.627986907958984,0.5825175642967224,0.32382088899612427,row_slit,"row_slit_5,5",blue_pink_toy.png
18.96725082397461,0.687727153301239,0.2694953382015228,row_slit,"row_slit_5,5",watch_wrist.png
17.6418514251709,0.776812732219696,0.3250112533569336,row_slit,"row_slit_5,5",row_rubber_ducks.png
18.152877807617188,0.40556564927101135,0.3842443823814392,row_slit,"row_slit_5,5",pizza_box_pizza.png
16.128780364990234,0.25583988428115845,0.3915664255619049,row_slit,"row_slit_5,5",rocky_beach_large.png
21.894357681274414,0.5155009627342224,0.28751152753829956,row_slit,"row_slit_5,5",lemon_blue_surface.png
